scheme_code,nav,nav_date
100033,897.2300,2026-05-21
100034,130.6700,2026-05-21
100037,12.8487,2026-05-21
100038,126.1145,2026-05-21
100041,108.0230,2026-05-21
100042,719.7748,2026-05-21
100043,738.6378,2026-05-21
100044,163.6940,2026-05-21
100046,100.1950,2026-05-21
100047,443.5408,2026-05-21
100048,108.2526,2026-05-21
100051,100.3027,2026-05-21
100057,10.5796,2026-05-21
100058,79.2498,2026-05-21
100063,218.2000,2026-05-21
100064,1263.3600,2026-05-21
100077,11.3494,2026-05-21
100078,84.1842,2026-05-21
100079,11.1036,2026-05-21
100080,55.8270,2026-05-21
100081,341.9970,2026-05-21
100082,26.6810,2026-05-21
100084,94.9204,2026-05-21
100085,12.3020,2026-05-21
100086,10.5193,2026-05-21
100087,55.3097,2026-05-21
100088,12.3110,2026-05-21
100089,10.9828,2026-05-21
100119,507.0410,2026-05-21
100120,35.8990,2026-05-21
100123,11.3100,2026-05-21
100124,58.7275,2026-05-21
100174,53.8344,2026-05-21
100175,387.6845,2026-05-21
100176,208.6120,2026-05-21
100177,262.3212,2026-05-21
100218,28.5968,2026-05-21
100219,147.3123,2026-05-21
100220,31.8363,2026-05-21
100221,113.8268,2026-05-21
100222,21.4185,2026-05-21
100223,62.9945,2026-05-21
100233,11.0065,2026-05-21
100234,75.0349,2026-05-21
100244,42.4705,2026-05-21
100247,43.1417,2026-05-21
100254,90.3617,2026-05-21
100264,18.4346,2026-05-21
100265,94.3413,2026-05-21
100280,11.5943,2026-05-21
100281,96.5179,2026-05-21
100286,36.9060,2026-05-21
100299,77.5471,2026-05-21
100300,47.5108,2026-05-21
100312,30.4626,2026-05-21
100313,96.5347,2026-05-21
100314,16.1113,2026-05-21
100315,73.5017,2026-05-21
100316,16.7988,2026-05-21
100317,58.2786,2026-05-21
100318,21.7812,2026-05-21
100319,33.6597,2026-05-21
100321,14.8393,2026-05-21
100323,192.9482,2026-05-21
100325,34.7117,2026-05-21
100332,31.1319,2026-05-21
100348,29.0300,2026-05-21
100349,989.5000,2026-05-21
100351,78.0900,2026-05-21
100352,422.5200,2026-05-21
100353,21.1100,2026-05-21
100354,895.7800,2026-05-21
100355,42.5400,2026-05-21
100356,395.6400,2026-05-21
100363,169.7300,2026-05-21
100365,89.1090,2026-05-21
100367,12.1794,2026-05-21
100368,17.0954,2026-05-21
100369,104.3531,2026-05-21
100375,117.9012,2026-05-21
100376,729.8212,2026-05-21
100377,4384.0694,2026-05-21
100378,60.4180,2026-05-21
100379,244.8418,2026-05-21
100380,1453.6893,2026-05-21
100383,10.7340,2026-05-21
100384,13.0998,2026-05-21
100385,12.4348,2026-05-21
100386,12.7249,2026-05-21
100387,90.5184,2026-05-21
100388,26.0234,2026-05-21
100414,421.7377,2026-05-21
100415,359.7835,2026-05-21
100470,40.9121,2026-05-21
100471,974.3020,2026-05-21
100472,90.9513,2026-05-21
100473,2678.9118,2026-05-21
100474,91.8929,2026-05-21
100475,492.2106,2026-05-21
100476,218.2700,2026-05-21
100477,116.5800,2026-05-21
100480,175.1600,2026-05-21
100484,190.9156,2026-05-21
100493,60.1726,2026-05-21
100494,10.6313,2026-05-21
100496,685.8621,2026-05-21
100497,90.3090,2026-05-21
100519,59.6488,2026-05-21
100520,1541.5986,2026-05-21
100521,38.6741,2026-05-21
100522,448.7420,2026-05-21
100524,35.1139,2026-05-21
100525,57.9723,2026-05-21
100526,1371.9413,2026-05-21
100527,16.6280,2026-05-21
100528,104.1810,2026-05-21
100529,15.1441,2026-05-21
100530,11.9870,2026-05-21
100531,12.3986,2026-05-21
100535,16.2196,2026-05-21
100536,213.6209,2026-05-21
100537,1244.8742,2026-05-21
100538,6197.0700,2026-05-21
100541,1509.0075,2026-05-21
100546,4144.5389,2026-05-21
100547,1000.0000,2026-05-21
100548,1037.0013,2026-05-21
100549,27.8410,2026-05-21
100550,259.3014,2026-05-21
100593,46.1100,2026-05-21
100596,14.8017,2026-05-21
100597,75.1248,2026-05-21
100600,12.2294,2026-05-21
100601,96.4766,2026-05-21
100602,13.0505,2026-05-21
100603,70.1738,2026-05-21
100614,14.7238,2026-05-21
100630,72.7338,2026-05-21
100631,635.9925,2026-05-21
100638,18.7824,2026-05-21
100639,71.8085,2026-05-21
100640,43.5095,2026-05-21
100641,6279.4129,2026-05-21
100643,112.2847,2026-05-21
100644,296.4758,2026-05-21
100645,169.0485,2026-05-21
100646,40.6564,2026-05-21
100650,50.5168,2026-05-21
100651,256.3607,2026-05-21
100663,87.9510,2026-05-21
100664,180.5394,2026-05-21
100668,195.0011,2026-05-21
100669,294.9484,2026-05-21
100678,39.4202,2026-05-21
100682,49.3453,2026-05-21
100684,396.7089,2026-05-21
100685,39.7441,2026-05-21
100723,7501.0734,2026-05-21
100724,4047.4640,2026-05-21
100725,2622.0945,2026-05-21
100739,197.9870,2026-05-21
100740,384.0049,2026-05-21
100741,74.3012,2026-05-21
100742,19.0832,2026-05-21
100784,44.5783,2026-05-21
100786,18.5435,2026-05-21
100789,41.4688,2026-05-21
100793,11.2971,2026-05-21
100794,35.1648,2026-05-21
100795,275.0706,2026-05-21
100806,240.4655,2026-05-21
100807,311.1370,2026-05-21
100813,1891.3837,2026-05-21
100814,3671.4120,2026-05-21
100820,37.0998,2026-05-21
100821,194.1983,2026-05-21
100822,163.0072,2026-05-21
100823,82.1228,2026-05-21
100833,1259.1755,2026-05-21
100835,5561.5073,2026-05-21
100837,5951.9228,2026-05-21
100838,1034.2542,2026-05-21
100842,1524.2800,2026-05-21
100843,1330.7958,2026-05-21
100844,1233.4026,2026-05-21
100851,6716.4233,2026-05-21
100852,1528.7400,2026-05-21
100853,1530.4392,2026-05-21
100855,1589.1020,2026-05-21
100856,62.0129,2026-05-21
100857,11.5738,2026-05-21
100858,11.9365,2026-05-21
100859,44.2892,2026-05-21
100864,29.3509,2026-05-21
100865,140.2050,2026-05-21
100868,5400.7092,2026-05-21
100874,1031.4527,2026-05-21
100875,1019.8200,2026-05-21
100876,1029.7993,2026-05-21
100900,278.1020,2026-05-21
100915,64.3244,2026-05-21
100927,21.3803,2026-05-21
100928,21.6539,2026-05-21
100929,26.4833,2026-05-21
100948,90.5137,2026-05-21
100949,12.4996,2026-05-21
100950,11.5880,2026-05-21
100968,75.0794,2026-05-21
100999,20.5609,2026-05-21
101001,66.8653,2026-05-21
101002,64.4356,2026-05-21
101003,20.9566,2026-05-21
