scheme_code,nav,nav_date
119551,104.8369,2026-04-20
119552,116.8286,2026-04-20
119553,104.1213,2026-04-20
108272,146.8583,2026-04-20
110282,112.2432,2026-04-20
108274,101.8081,2026-04-20
110490,113.7143,2026-04-20
106157,102.9973,2026-04-20
108273,380.4440,2026-04-20
103176,571.0982,2026-04-20
119550,395.9255,2026-04-20
120437,1039.1310,2026-04-20
120438,2834.4352,2026-04-20
120439,1038.6266,2026-04-20
120436,1038.2027,2026-04-20
117447,1039.1303,2026-04-20
117446,2742.5263,2026-04-20
117449,1038.1869,2026-04-20
117448,1038.2003,2026-04-20
152164,10.9802,2026-04-20
152163,11.9577,2026-04-20
152165,11.7985,2026-04-20
152166,11.7985,2026-04-20
152162,11.9577,2026-04-20
152167,10.9106,2026-04-20
121936,12.0991,2026-04-20
127471,10.4768,2026-04-20
121934,10.5366,2026-04-20
121279,26.4576,2026-04-20
121281,13.9173,2026-04-20
121935,10.5112,2026-04-20
121938,11.0208,2026-04-20
121933,11.1472,2026-04-20
127470,10.8788,2026-04-20
121931,10.6888,2026-04-20
121280,25.6459,2026-04-20
121282,13.8486,2026-04-20
121932,10.7526,2026-04-20
121937,10.9156,2026-04-20
150505,12.6319,2026-04-20
150507,10.8557,2026-04-20
150503,12.4927,2026-04-20
150504,10.7480,2026-04-20
124175,25.7770,2026-04-20
124178,10.4030,2026-04-20
124182,10.1889,2026-04-20
124176,10.4068,2026-04-20
124177,10.4643,2026-04-20
124183,10.1894,2026-04-20
124172,24.8410,2026-04-20
124174,10.3981,2026-04-20
124173,10.1888,2026-04-20
124180,10.3913,2026-04-20
124181,10.4546,2026-04-20
124179,10.1891,2026-04-20
140286,26.5015,2026-04-20
140288,18.6584,2026-04-20
140291,14.3772,2026-04-20
140293,10.9429,2026-04-20
140290,10.5559,2026-04-20
140283,25.5143,2026-04-20
140284,17.7434,2026-04-20
140294,13.9026,2026-04-20
140292,11.1851,2026-04-20
140289,10.1483,2026-04-20
129008,24.6422,2026-04-20
129006,23.5296,2026-04-20
129009,11.4951,2026-04-20
129007,10.8707,2026-04-20
128628,23.8693,2026-04-20
128629,24.9286,2026-04-20
128627,10.1610,2026-04-20
128626,10.0555,2026-04-20
151108,11.1907,2026-04-20
151107,26.6240,2026-04-20
151106,11.2042,2026-04-20
151109,10.3527,2026-04-20
151102,11.1160,2026-04-20
151104,25.2099,2026-04-20
151105,10.4189,2026-04-20
151103,10.3252,2026-04-20
120256,35.6628,2026-04-20
120258,12.9983,2026-04-20
112342,34.1190,2026-04-20
116174,11.0003,2026-04-20
120444,2520.1696,2026-04-20
120443,1064.4930,2026-04-20
120445,1012.5600,2026-04-20
118234,1051.3690,2026-04-20
118232,2346.9647,2026-04-20
118233,1063.1591,2026-04-20
148534,13.9487,2026-04-20
148536,13.9471,2026-04-20
148535,13.5334,2026-04-20
148533,13.5345,2026-04-20
123690,68.1519,2026-04-20
123691,12.8044,2026-04-20
123693,71.2093,2026-04-20
123692,10.2725,2026-04-20
120337,14.3176,2026-04-20
120338,39.1146,2026-04-20
120339,14.7311,2026-04-20
120336,10.0581,2026-04-20
105822,11.5925,2026-04-20
105823,36.1319,2026-04-20
105856,13.5228,2026-04-20
105857,10.3905,2026-04-20
148419,13.7299,2026-04-20
148417,13.7234,2026-04-20
148416,13.3806,2026-04-20
148418,13.3817,2026-04-20
134555,22.3921,2026-04-20
134553,10.2779,2026-04-20
134547,22.3921,2026-04-20
134550,10.8180,2026-04-20
134556,10.8773,2026-04-20
134554,10.2774,2026-04-20
134548,21.5092,2026-04-20
134549,10.7426,2026-04-20
134551,10.8129,2026-04-20
134552,22.3917,2026-04-20
134545,21.5092,2026-04-20
125502,1518.7086,2026-04-20
125503,3447.9095,2026-04-20
125505,1310.2571,2026-04-20
125504,1515.3370,2026-04-20
125498,3234.3121,2026-04-20
125499,1475.5824,2026-04-20
125501,1222.0295,2026-04-20
125500,1475.2329,2026-04-20
119625,45.4948,2026-04-20
119626,11.3260,2026-04-20
100784,44.8028,2026-04-20
100793,11.3540,2026-04-20
140135,13.4054,2026-04-20
133972,20.1723,2026-04-20
126940,23.4090,2026-04-20
141375,15.5337,2026-04-20
134026,13.6162,2026-04-20
126942,17.4230,2026-04-20
140116,13.1243,2026-04-20
133971,15.4036,2026-04-20
139407,15.3390,2026-04-20
136110,13.3557,2026-04-20
126941,15.7628,2026-04-20
126939,22.9695,2026-04-20
119533,119.1612,2026-04-20
103178,116.9972,2026-04-20
124832,10.4288,2026-04-20
119532,12.7453,2026-04-20
124833,11.6952,2026-04-20
103183,12.5306,2026-04-20
141586,10.2348,2026-04-20
141590,10.2532,2026-04-20
141591,14.7610,2026-04-20
141587,10.3641,2026-04-20
141588,18.9206,2026-04-20
141589,10.2347,2026-04-20
141594,10.2416,2026-04-20
