scheme_code,isin_payout_or_growth,isin_reinvestment,scheme_name,first_seen_date,last_seen_date,is_active
100033,INF209K01165,-,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,2026-04-20,2026-04-27,1
100034,INF209K01157,INF209K01CE5,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,2026-04-20,2026-04-27,1
100037,INF209K01587,INF209K01CY3,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,2026-04-20,2026-04-27,1
100038,INF209K01579,-,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,2026-04-20,2026-04-27,1
100041,-,INF209K01KN9,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,2026-04-20,2026-04-27,1
100042,INF209K01ME4,-,Aditya Birla Sun Life Liquid Fund-Retail (Growth),2026-04-20,2026-04-27,1
100043,INF209K01RT1,-,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),2026-04-20,2026-04-27,1
100044,-,INF209K01KP4,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,2026-04-20,2026-04-27,1
100046,INF209K01KQ2,INF209K01SQ5,Aditya Birla Sun Life Liquid Fund -Daily IDCW,2026-04-20,2026-04-27,1
100047,INF209K01RU9,-,Aditya Birla Sun Life Liquid Fund - Growth,2026-04-20,2026-04-27,1
100048,INF209KA1LK7,INF209K01KY6,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,2026-04-20,2026-04-27,1
100051,INF209K01KU4,INF209KA1LJ9,Aditya Birla Sun Life Liquid Fund -weekly IDCW,2026-04-20,2026-04-27,1
100057,INF209K01AF6,INF209K01DP9,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,2026-04-20,2026-04-27,1
100058,INF209K01AC3,INF209K01AD1,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,2026-04-20,2026-04-27,1
100063,INF209K01314,INF209K01CL0,Aditya Birla Sun Life MNC Fund - Regular - IDCW,2026-04-20,2026-04-27,1
100064,INF209K01322,-,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,2026-04-20,2026-04-27,1
100077,INF740K01565,INF740K01995,DSP Bond Fund - IDCW,2026-04-20,2026-04-27,1
100078,INF740K01557,-,DSP Bond Fund - Growth,2026-04-20,2026-04-27,1
100079,INF740K01573,INF740K01AA1,DSP Bond Fund - IDCW - Monthly,2026-04-20,2026-04-27,1
100080,INF740K01011,INF740K01029,DSP Flexi Cap Fund - Regular Plan - IDCW,2026-04-20,2026-04-27,1
100081,INF740K01318,-,DSP Aggressive Hybrid Fund- Regular Plan - Growth,2026-04-20,2026-04-27,1
100082,INF740K01326,INF740K01334,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,2026-04-20,2026-04-27,1
100084,INF740K01615,-,DSP Gilt Fund - Regular Plan - Growth,2026-04-20,2026-04-27,1
100085,INF740K01607,INF740K01AD5,DSP Gilt Fund - Regular Plan - IDCW,2026-04-20,2026-04-27,1
100086,INF740K01623,INF740K01AE3,DSP Gilt Fund - Regular Plan - IDCW - Monthly,2026-04-20,2026-04-27,1
100087,INF740K01714,-,DSP Savings Fund - Regular Plan - Growth,2026-04-20,2026-04-27,1
100088,INF740K01706,INF740K01AJ2,DSP Savings Fund - Regular Plan - IDCW,2026-04-20,2026-04-27,1
100089,INF740K01722,INF740K01AK0,DSP Savings Fund - Regular Plan - IDCW - Monthly,2026-04-20,2026-04-27,1
100119,INF179K01830,-,HDFC Balanced Advantage Fund - Growth Plan,2026-04-20,2026-04-27,1
100120,INF179K01814,INF179K01822,HDFC Balanced Advantage Fund - IDCW Plan,2026-04-20,2026-04-27,1
100123,INF179K01947,INF179K01954,HDFC Income Fund - Quarterly IDCW Option,2026-04-20,2026-04-27,1
100124,INF179K01962,-,HDFC Income Fund - Growth Option,2026-04-20,2026-04-27,1
100174,INF966L01119,-,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,2026-04-20,2026-04-27,1
100175,INF966L01135,-,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,2026-04-20,2026-04-27,1
100176,INF206A01022,INF966L01044,quant Small Cap Fund - IDCW Option - Regular Plan,2026-04-20,2026-04-27,1
100177,INF966L01AA0,-,quant Small Cap Fund - Growth - Regular Plan,2026-04-20,2026-04-27,1
100218,INF192K01585,INF192K01593,JM Large Cap Fund (Regular) - IDCW,2026-04-20,2026-04-27,1
100219,INF192K01601,-,JM Large Cap Fund (Regular) - Growth Option,2026-04-20,2026-04-27,1
100220,INF192K01528,INF192K01536,JM Aggressive Hybrid Fund (Regular) - IDCW,2026-04-20,2026-04-27,1
100221,INF192K01544,-,JM Aggressive Hybrid Fund (Regular) -Growth Option,2026-04-20,2026-04-27,1
100222,INF192K01999,INF192K01AA5,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,2026-04-20,2026-04-27,1
100223,INF192K01AB3,-,JM Medium to Long Duration Fund (Regular) - Growth Option,2026-04-20,2026-04-27,1
100233,INF192K01841,INF192K01858,JM Liquid Fund (Regular) - Weekly IDCW,2026-04-20,2026-04-27,1
100234,INF192K01882,-,JM Liquid Fund - Growth Option,2026-04-20,2026-04-27,1
100244,INF192K01866,INF192K01874,JM Liquid Fund (Regular) - Quarterly IDCW,2026-04-20,2026-04-27,1
