scheme_code,isin_payout_or_growth,isin_reinvestment,scheme_name,nav,nav_date
100033,INF209K01165,-,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,923.3400,2026-04-22
100034,INF209K01157,INF209K01CE5,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,134.4800,2026-04-22
100037,INF209K01587,INF209K01CY3,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,12.9596,2026-04-22
100038,INF209K01579,-,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,127.2031,2026-04-22
100041,-,INF209K01KN9,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,108.0230,2026-04-22
100042,INF209K01ME4,-,Aditya Birla Sun Life Liquid Fund-Retail (Growth),717.0180,2026-04-22
100043,INF209K01RT1,-,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),735.8088,2026-04-22
100044,-,INF209K01KP4,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,163.6940,2026-04-22
100046,INF209K01KQ2,INF209K01SQ5,Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.1950,2026-04-22
100047,INF209K01RU9,-,Aditya Birla Sun Life Liquid Fund - Growth,441.8420,2026-04-22
100048,INF209KA1LK7,INF209K01KY6,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,108.3096,2026-04-22
100051,INF209K01KU4,INF209KA1LJ9,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.2909,2026-04-22
100057,INF209K01AF6,INF209K01DP9,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,10.7159,2026-04-22
100058,INF209K01AC3,INF209K01AD1,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,80.2705,2026-04-22
100063,INF209K01314,INF209K01CL0,Aditya Birla Sun Life MNC Fund - Regular - IDCW,222.2700,2026-04-22
100064,INF209K01322,-,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,1286.9500,2026-04-22
100077,INF740K01565,INF740K01995,DSP Bond Fund - IDCW,11.4348,2026-04-22
100078,INF740K01557,-,DSP Bond Fund - Growth,84.8180,2026-04-22
100079,INF740K01573,INF740K01AA1,DSP Bond Fund - IDCW - Monthly,11.2056,2026-04-22
100080,INF740K01011,INF740K01029,DSP Flexi Cap Fund - Regular Plan - IDCW,57.3300,2026-04-22
100081,INF740K01318,-,DSP Aggressive Hybrid Fund- Regular Plan - Growth,348.5060,2026-04-22
100082,INF740K01326,INF740K01334,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,27.4110,2026-04-22
100084,INF740K01615,-,DSP Gilt Fund - Regular Plan - Growth,96.2204,2026-04-22
100085,INF740K01607,INF740K01AD5,DSP Gilt Fund - Regular Plan - IDCW,12.4705,2026-04-22
100086,INF740K01623,INF740K01AE3,DSP Gilt Fund - Regular Plan - IDCW - Monthly,10.6634,2026-04-22
100087,INF740K01714,-,DSP Savings Fund - Regular Plan - Growth,55.3257,2026-04-22
100088,INF740K01706,INF740K01AJ2,DSP Savings Fund - Regular Plan - IDCW,12.3145,2026-04-22
100089,INF740K01722,INF740K01AK0,DSP Savings Fund - Regular Plan - IDCW - Monthly,11.0630,2026-04-22
100119,INF179K01830,-,HDFC Balanced Advantage Fund - Growth Plan,520.6200,2026-04-22
100120,INF179K01814,INF179K01822,HDFC Balanced Advantage Fund - IDCW Plan,37.1130,2026-04-22
100123,INF179K01947,INF179K01954,HDFC Income Fund - Quarterly IDCW Option,11.3931,2026-04-22
100124,INF179K01962,-,HDFC Income Fund - Growth Option,59.1583,2026-04-22
